abbrev,team,primary_color
ANA,Anaheim Ducks,#F47A38
BOS,Boston Bruins,#FFB81C
BUF,Buffalo Sabres,#002654
CAR,Carolina Hurricanes,#CC0000
CBJ,Columbus Blue Jackets,#002654
CGY,Calgary Flames,#C8102E
CHI,Chicago Blackhawks,#CF0A2C
COL,Colorado Avalanche,#6F263D
DAL,Dallas Stars,#006847
DET,Detroit Red Wings,#CE1126
EDM,Edmonton Oilers,#FF4C00
FLA,Florida Panthers,#041E42
LAK,Los Angeles Kings,#AEAFAB
MIN,Minnesota Wild,#154734
MTL,Montréal Canadiens,#AF1E2D
NJD,New Jersey Devils,#CE1126
NSH,Nashville Predators,#FFB81C
NYI,New York Islanders,#00539B
NYR,New York Rangers,#0038A8
OTT,Ottawa Senators,#C52032
PHI,Philadelphia Flyers,#F74902
PIT,Pittsburgh Penguins,#FCB60C
SEA,Seattle Kraken,#91D4D6
SJS,San Jose Sharks,#006D75
STL,St. Louis Blues,#002F87
TBL,Tampa Bay Lightning,#002868
TOR,Toronto Maple Leafs,#003E7E
UTA,Utah Hockey Club,#69B3E7
VAN,Vancouver Canucks,#00205B
VGK,Vegas Golden Knights,#B4975A
WPG,Winnipeg Jets,#041E42
WSH,Washington Capitals,#041E42
